nombre,telefono,email,web,ciudad,puntuacion
Cafetería Churrería Las Caracolas (Bar Quemao),34928603227,,,Arucas,
Bar Cafetería Polideportivo,34928633388,,,Arucas,
Cafetería Arucas,34928297478,,,Arucas,
Bar Hermanos Díaz,,,,Arucas,
La Cantonera de Arucas,,,,Arucas,
Tasca Jamón Jamón,,,,Arucas,
Bar El Gótico,,,,Arucas,
Casa de Pepe,,,,Arucas,
Cafetería Esterlizia,,,,Arucas,
Cafetería Las Vegas,,,,Arucas,
Cafetería Los Chinijos,,,,Arucas,
Siroco Cafetería,,,,Arucas,
Due Galli (San Andrés),,,,Arucas,
